pile_slug,character_short_name,friendly_name,character_group,question,hint,image_url,unit,value_type
woody-angiosperms,carpel_fusion_wa,Carpels fused,flowers,"Are there two or more carpels fused to each other (i.e., connate) or is there only one carpel or multiple carpels that are separate from one another (i.e., distinct)?","The carpels are the seed-producing organs consisting of an ovary, a style and a stigma. If the carpels are fused, the number of carpels equals the number of locules (chambers) within the ovary. You may need to dissect the ovary to determine this.",,,TEXT
woody-angiosperms,collateral_buds_wa,Collateral buds,buds or leaf scars,Are collateral buds present on the sides of the branches?,"A collateral bud is an extra, accessory bud placed next to the axillary bud in the axils (the angle where a leaf or twig emerges from the branch). These buds are easiest to see in winter.",,,TEXT
woody-angiosperms,enlarged_sterile_flowers_wa,Enlarged sterile flowers,flowers,"Does the plant produce very small, fertile flowers encircled by much larger, sterile flowers?",Examine the fully-expanded inflorescence to answer this question.,,,TEXT
woody-angiosperms,flower_appearance_wa,Flower appearance,flowers,"When do the flowers appear on the plant, relative to the leaves?",This question asks about the relative timing of leaf and flower development.,,,TEXT
woody-angiosperms,flower_symmetry_wa,Flower symmetry,flowers,How many ways could you divide a flower into two halves and get rough mirror images (at least in terms of the petals or corolla)?,"Treat this as a thought experiment, you don't actually have to cut the flower. Radially symmetrical flowers have perianths arranged like the spokes of a wheel. Bilaterally symmetrical flowers have mirror-image left and right sides.",,,TEXT
woody-angiosperms,fruit_type_general_wa,Fruit type (general),fruits or seeds,"Is the fruit fleshy or hard? Does it split open when ripe, or stay closed?",It's best to look at mature fruits. You may have to dissect one or more to tell whether it is fleshy or a capsule.,,,TEXT
woody-angiosperms,fruit_type_specific_wa,Fruit type (specific),fruits or seeds,What is the specific type of the fruit?,It is best to look at mature fruits. You will have to dissect one to determine how the tissues are arranged.,,,TEXT
woody-angiosperms,fruit_wing_wa,Wings on fruit,fruits or seeds,Does the fruit have one or more wings on it?,"Wings are thin, flat projections that aid in wind dispersal.",,,TEXT
woody-angiosperms,habit_of_primocane_Rubus_wa,First-year cane (Rubus),"stem, shoot, branch",What form does the first-year cane stem take?,"This question applies to the blackberries or raspberries (Rubus). The first-year cane stem is the most recent growth, and doesn't produce flowers or fruit.",,,TEXT
woody-angiosperms,hypanthium_wa,Hypanthium present,flowers,Does the flower have a hypanthium?,"The hypanthium is a cup- or tube-shaped section of tissue in a flower formed from the fusion of the basal portion of the sepals, petals, and stamens. Hypanthiums are common in the Rose family.",,,TEXT
woody-angiosperms,inflorescence_position_wa,Inflorescence position,flowers,On what part of the plant does the inflorescence grow?,"The twigs are the most recent growth, and are the smallest, outermost segments of the branch. The branches are the next older level of the branching system. Determine whether the flowers and fruit grow on the twigs or on the branches.",,,TEXT
woody-angiosperms,inflorescence_pubescence_wa,Inflorescence hairs,flowers,Are there hairs on any part of the inflorescence?,"Examine the entire inflorescence, particularly the axis (central stalk). The hairs may be easiest to see with a hand lens.",,,TEXT
woody-angiosperms,inflorescence_type_wa,Inflorescence type,flowers,What type of inflorescence does the plant produce?,An inflorescence is an array of flowers on a single stem. Be sure to look at a mature specimen with fully open flowers.,,,TEXT
woody-angiosperms,involucre_armature_Fagaceae_wa,Nut with spines (Fagaceae),fruits or seeds,"If the plant produces a nut with an involucre (like an acorn), does the involucre have spines?","This question applies only to members of the oak and beech family (Fagaceae). An involucre is a series of tightly-packed bracts, which on a nut in oaks and beeches takes the form of a cup.",,,TEXT
woody-angiosperms,leaf_arrangement_wa,Leaves per node,leaves,How many leaves are produced from each node of the stem or branches?,Examine several nodes on fully expanded twigs.,,,TEXT
woody-angiosperms,leaf_blade_base_shape_wa,Leaf blade base shape,leaves,What is the shape of the base of the leaf blade?,"The leaf blade base is where the blade meets the leaf stalk or the stem if there is no leaf stalk. Examine fully-expanded leaves. If the leaves are compound, apply this question to the terminal or central leaflet.",,,TEXT
woody-angiosperms,leaf_blade_base_symmetry_wa,Leaf blade base symmetry,leaves,Is the base of the leaf blade symmetrical?,"The base of the leaf blade is the point where the blade meets the leaf stalk, or the plant stem if there is no stalk. If the leaves are compound, apply this question to the terminal or central leaflet.",,,TEXT
woody-angiosperms,leaf_blade_indument_description_wa,Leaf blade hairs,leaves,What type of hairs are present on the leaf blade?,It is easiest to distinguish among types of hair with a hand lens.,,,TEXT
woody-angiosperms,leaf_blade_length_wa,Leaf blade length,leaves,"How long is the leaf blade (not counting the leaf stalk or petiole, if any)?","Measure only fully-formed leaves, not immature leaves or bracts.",https://newfs.s3.amazonaws.com/character-value-images/leaf-blade-measures-length.gif,mm,LENGTH
woody-angiosperms,leaf_blade_margin_Acer_wa,Leaf blade edges (Acer),leaves,Where are the teeth located on the edge of the leaf?,"This question applies to the maples (Acer). The leaves may have teeth only at the tips of the lobes, or scattered throughout the leaf edge, including between the lobes.",,,TEXT
woody-angiosperms,leaf_blade_margin_general_wa,Leaf blade edges,leaves,What do the edges of the leaf blade look like?,"Some leaves have wavy edges, but don't confuse those with lobes, which are horizontal, rounded outgrowths of the leaf.",,,TEXT
woody-angiosperms,leaf_blade_margin_planeness_wa,Leaf blade flatness,leaves,Are the edges of the leaf flat or rolled?,"Sometimes during droughts, leaves can curl; be sure you're looking at a fully expanded, normal leaf.",,,TEXT
woody-angiosperms,leaf_blade_margin_specific_wa,Leaf teeth,leaves,What are the characteristics of the teeth along the edge of the leaf blade?,Sometimes teeth can be very small and are easier to see with a hand lens.,,,TEXT
woody-angiosperms,leaf_blade_midrib_glands_wa,Leaf midrib glands,leaves,Does the midrib of the leaf blade have glands on the upper surface?,"The glands on the midrib usually look like red, brown or blackish dots or flecks. They may produce a sticky or greasy substance. You may need a hand lens to see the glands.",,,TEXT
woody-angiosperms,leaf_blade_scales_wa,Leaf blade scales,leaves,Do the leaf blades have tiny scales on them?,"The scales are thin, papery tissues on the leaf surface. You may need a hand lens to see the scales.",,,TEXT
woody-angiosperms,leaf_blade_shape_wa,Leaf blade shape,leaves,What is the overall shape of the leaf blade?,"Do not include the leaf stalk (petiole) if one is present. Examine mature, fully-formed leaves.",,,TEXT
woody-angiosperms,leaf_blade_texture_wa,Leaf blade texture,leaves,What is the texture of the leaf blade?,Feel the leaf with your fingers and look at it with a hand lens.,,,TEXT
woody-angiosperms,leaf_blade_venation_wa,Leaf blade vein pattern,leaves,How are the main veins of the leaf blade arranged?,Look at both sides of the leaf.,,,TEXT
woody-angiosperms,leaf_blade_width_wa,Leaf blade width,leaves,What is the width of the mature leaf?,Measure across the leaf at its widest point.,https://newfs.s3.amazonaws.com/character-value-images/leaf-blade-measures-width.gif,mm,LENGTH
woody-angiosperms,leaf_bundle_scar_number_wa,Bundle scar number,buds or leaf scars,How many bundles of vascular tissue do you see within a fresh leaf scar on the stem or twig?,"A vascular bundle is a strand of xylem, phloem, and associated tissue. Look for the small, dark spots on the scar left when you detach a leaf from the twig or branch. You will need a hand lens to count the vascular bundles.",,,TEXT
woody-angiosperms,leaf_duration_wa,Leaf duration,leaves,How long do the leaves stay green?,"Conifers, some hollies, rhododendrons and some others keep their leaves all year long, but most broad-leaved trees in New England are deciduous.",,,TEXT
woody-angiosperms,leaf_form_wa,Leaf form,leaves,What is the general form of the leaves?,Some non-conifers have needle-like leaves.,,,TEXT
woody-angiosperms,leaf_scar_arrangment_wa,Leaf scar arrangement,buds or leaf scars,How are the leaf scars arranged along the stem?,"When leaves fall off, they leave a scar behind on the stem or twig. The leaf scars can help you determine the leaf arrangement. If there is one scar per node, the leaves are alternate, if two they are opposite, if three or more they are whorled.",,,TEXT
woody-angiosperms,leaf_teeth_subapical_tufts_of_hairs_Carya_wa,Leaf teeth hairs (Carya),leaves,Are there tiny tufts of hairs along the edge of the leaf blade below the tips of the teeth?,You may need a hand lens to see the tiny tufts of hairs.,,,TEXT
woody-angiosperms,leaf_type_general_wa,Leaf type,leaves,Is the leaf blade divided into smaller leaflets?,"A leaf is simple if the blade is a single unit of leaf membrane, and compound if it is made up of two or more discrete leaflets.",,,TEXT
woody-angiosperms,leaf_type_specific_wa,Specific leaf type,leaves,What type of leaf does the plant have?,"Be sure you examine several leaves, as there may be variation within the same plant. Teeth do not count as lobes.",,,TEXT
woody-angiosperms,lenticels_on_branchlets_wa,Lenticels on twigs,"stem, shoot, branch","Are there small, corky dots or streaks on the twigs, with tiny pores (lenticels) in them?","Lenticels are pores that let air into the twig. They are often of a different color or texture from the rest of the twig, and they may be slightly raised from the surface. They can be very small.",,,TEXT
woody-angiosperms,outer_bark_main_stem_wa,Bark texture,"stem, shoot, branch",What is the texture of the bark?,Try to find a full-grown tree. The bark of young woody plants may differ.,,,TEXT
woody-angiosperms,ovary_position_wa,Ovary position,flowers,Where are the sepals and/or petals attached relative to the ovary?,"Look at the base of the petals or sepals, and determine whether the swollen body of the ovary is above or below that point.",,,TEXT
woody-angiosperms,ovary_summit_Amelanchier_wa,Hairs on ovary (Amelanchier),flowers,Are there hairs on the top of the ovary?,"This question applies to the shadbushes (Amelanchier). The ovary is the swollen body at the base of the flower. You will need to dissect a flower, and examine the top of the ovary under a microscope.",,,TEXT
woody-angiosperms,pellucid_dots_on_leaf_blades_wa,Leaf blade translucent dots,leaves,Are there translucent dots on the leaf surface?,Look at the upper and lower sides of the leaf blade. Holding it up to the light may make it easier to see the translucent dots. A hand lens may also be useful.,,,TEXT
woody-angiosperms,perianth_description_wa,Petal and sepal arrangement,flowers,How many cycles of petal- or sepal-like structures are there on the flower?,"Count the cycles of petal- or sepal-like lobes, if any are present. Some tiny flowers will be easier to see with a hand lens.",,,TEXT
woody-angiosperms,petal_appearance_wa,Petal appearance,flowers,What color and texture are the flower petals?,Some tiny flowers will be easier to see with a hand lens.,,,TEXT
woody-angiosperms,petal_color_wa,Flower petal color,flowers,What color are the flower petals?,"If there is more than one color present, choose the most prevalent.",,,TEXT
woody-angiosperms,petal_fusion_wa,Petal fusion,flowers,"Are the perianth parts fused to form a tube, cup, or bell shape?","The perianth is the cycle of sepals or petals within the flower. Fused means partially or completely attached to an adjacent structure (in this case, adjacent sepals or petals). The perianths of smaller flowers may be easier to see with a hand lens.",,,TEXT
woody-angiosperms,petiole_attachment_wa,Leaf stalk attachment to leaf,leaves,At what point on the leaf blade does the leaf stalk attach?,Examine the leaf stalks (petioles) of fully-expanded leaves.,,,TEXT
woody-angiosperms,petiole_nectaries_wa,Leaf stalk nectaries,leaves,Does the leaf stalk have nectaries on it?,"Nectaries are raised bumps, usually of a different color than the leaf stalk, with glands that secrete nectar, a sugary substance that attracts pollinators and other feeders. They are usually sweet or sticky.",,,TEXT
woody-angiosperms,petiole_shape_wa,Leaf stalk shape,leaves,Is the leaf stalk flattened?,Look at the leaf stalk in cross-section to determine whether it is clearly flattened perpendicular to the plane of the leaf blade.,,,TEXT
woody-angiosperms,petiole_wa,Leaf stalk,leaves,Do the leaves have leaf stalks?,"Sometimes petioles can be winged with narrow bands of leafy tissue, but the wings are usually much narrower than the blade.",,,TEXT
woody-angiosperms,pistil_number_wa,Number of pistils,flowers,How many pistils are present in each flower?,"A pistil is the outward appearance of the carpel (stigma, style and ovary). You may want to dissect a flower to count these (but do not dissect the ovary in this case).",,,TEXT
woody-angiosperms,pith_shape_in_cross-section_wa,Pith shape,"stem, shoot, branch",What is the shape of the pith in the center of a twig?,"The twig is the most recent growth of the woody plant. The pith is the spongy tissue in the center of the twig. Cut a twig off the plant with a sharp blade, and look at the outline of the pith in the cut end.",,,TEXT
woody-angiosperms,pith_wa,Pith type,"stem, shoot, branch",What does the pith inside the twigs look like?,"The twig is the most recent growth of the woody plant. The pith is the spongy tissue in the center of the twig. Select a good-sized twig and cut it lengthwise with a sharp blade, or peel off the outer layers until you can see the pith.",,,TEXT
woody-angiosperms,plant_habit_wa,Growth form,growth form,What is the growth form of the stem?,"A shrub is a self-supporting woody plant with multiple stems growing from the base. Lianas have woody stems but use other plants or objects for support, like a vine.",,,TEXT
woody-angiosperms,primary_veins_at_base_of_blade_wa,Leaf blade veins,leaves,How are the main veins on the leaf blade arranged?,Examine both sides of a few mature leaves.,,,TEXT
woody-angiosperms,pseudoterminal_bud_wa,Pseudoterminal bud,buds or leaf scars,Do the tips of the branches have pseudoterminal buds?,A pseudoterminal bud is a bud at the tip of a branch that resembles a terminal bud but has both a leaf bundle scar and a twig scar near its base.,,,TEXT
woody-angiosperms,sap_wa,Sap color,glands or sap,What color is the sap?,"Break or cut a fresh stem or branch tip. Some species have sap that may be irritating to your skin, including poison ivy (Toxicodendron radicans) and poison sumac (Toxicodendron vernix).",,,TEXT
woody-angiosperms,scales_on_branchlets_wa,Twig scales,"stem, shoot, branch",Are there scales on the surface of the twigs?,The twig is the most recent growth of a woody plant. Scales are tiny outgrowths of tissue on the surface of the twigs. They may be wedge-shaped or flat and circular. Scales may be easier to see with a hand lens.,,,TEXT
woody-angiosperms,scent_wa,Plant odor,scent,How would you describe the odor of the leaves?,"If the odor is not obvious, crush a leaf between your fingers, or scratch the bark and smell it.",,,TEXT
woody-angiosperms,sepal_appearance_wa,Sepal appearance,flowers,"If the flower has sepals, what is their color and texture?","Sepals are the outermost whorl of the flower, and may be green or brown with a leaf-like texture, or similar to the petals in color and texture.",,,TEXT
woody-angiosperms,sepal_cilia_Ilex_wa,Sepal cilia (Ilex),flowers,Are there tiny hairs along the margins of the sepals?,"This question applies to the hollies (Ilex). Sepals are the outermost whorl of a flower, and cilia are single rows of tiny hairs on the margins. You can see them with a hand lens. Sepals are persistent on the fruits, and the cilia may still be visible.",,,TEXT
woody-angiosperms,sepal_fusion_wa,Sepals fused only to sepals,flowers,"Are the sepals connected, or fused to one another near their bases?","Sepals are the outermost whorl of the flower.  If the sepals are fused to other parts of the flower (such as petals as in a hypanthium), then answer that they are separate.",,,TEXT
woody-angiosperms,sepal_marginal_glands_wa,Sepal tip glands,flowers,Are there glands along the margins of the sepal lobes or tips of the teeth?,"This question applies to some of the woody rose family species (Prunus, Crataegus, Aronia). The sepals are the outermost whorl of the flower. You will need a hand lens to see the glands.",,,TEXT
woody-angiosperms,shape_of_distal_portion_of_bud_scar_Fraxinus_wa,Bud scar shape (Fraxinus),buds or leaf scars,What is the shape of the top of the bud scar?,This question applies to the ashes (Fraxinus). The bud scar is the mark on the twig where a bud was previously attached. Look at the upper edge of the bud scar.,,,TEXT
woody-angiosperms,short_shoots_wa,Short shoots,"stem, shoot, branch",Does the branch have a peg- or knob-like shoot with closely crowded leaves on it?,Larches (Larix) species have short shoots.,,,TEXT
woody-angiosperms,stamen_fusion_within_cycle_wa,Stamens fused,flowers,Are the stamens attached (fused) to one another?,You may need to dissect the flower to examine the stamens near their base.,,,TEXT
woody-angiosperms,stamen_number_wa,Stamen number,flowers,How many stamens are on each flower?,"Stamens are the pollen-bearing structures of the flower, consisting of an anther (pollen-producing structure) and a filament (stalk supporting the anther). For tiny flowers, use a hand lens to count the stamens.",,,TEXT
woody-angiosperms,stamen_position_wa,Stamen position relative to petals,flowers,"When the stamens number as many as the petals (or the sepals when petals are absent), are they lined up with the sepals or petals?  (Note:  if the stamens number more than the petals or sepals (when petals are absent), enter NA.)",The stamens consist of the anther (pollen-bearing structure) and the filament (stalk). Look at the flower from the top down and note whether the stamens are centered on the petals or the sepals.,,,TEXT
woody-angiosperms,stipitate_glands_on_hypanthium_Rosa_wa,Stalked glands on fruit (Rosa),glands or sap,"Does the outer, fleshy part of the fruit have small, stalked glands on it?","This question applies to the roses (Rosa). The hypanthium, formed from the basal portion of the sepals, petals, and stamens, becomes the outer, fleshy part of the rose hip. The stalked glands are on the hypanthium, and can make the fruit feel sticky.",,,TEXT
woody-angiosperms,stipules_wa,Stipules,leaves,Does the plant have stipules?,"Stipules are small projections found at the junction between the leaf stalk and stem. They may be single or in pairs, leaf-like, long and slender, or modified into spines. Some stipules are dehiscent (they fall off), so check several leaf-stem junctions.",,,TEXT
woody-angiosperms,superposed_buds_wa,Superposed buds,buds or leaf scars,Is there a superposed bud present on the side of the branch?,A superposed bud is an extra bud above or on top of the main (terminal) bud.,,,TEXT
woody-angiosperms,terminal_bud_wa,Terminal bud,buds or leaf scars,"Is there a bud that forms on the very tip of a branch, with no twig scar beside it?",,,,TEXT
woody-angiosperms,winter_branchlet_color_wa,Twig winter color,"stem, shoot, branch",What color are the twigs in winter?,"Twigs are the most recent growth of a woody plant. You must be able to observe the plant in winter to answer this question. There may be some color variation, so examine several twigs.",,,TEXT
woody-angiosperms,winter_bud_covering_wa,Winter bud scales,buds or leaf scars,Is the winter bud concealed by scales?,"Scales are thin, papery structures that may protect the bud. If you remove the outer layer(s) of the bud and examine them closely, you can determine whether they are scales or immature leaves.",,,TEXT
woody-angiosperms,winter_bud_distribution_wa,Winter bud distribution,buds or leaf scars,How are the winter buds distributed along the twig?,Examine several twigs and note whether the buds are clustered near the tip or not.,,,TEXT
woody-angiosperms,winter_bud_position_wa,Bud position relative to scar,buds or leaf scars,How is the winter bud positioned in relation to the adjacent leaf scar?,"Because most winter buds are found in the leaf axils, the leaf scar is usually found just below the winter bud. Occasionally the leaf scar encircles or partially encircles the winter bud, indicating that it is hidden in the base of the leaf stalk.",,,TEXT
woody-angiosperms,winter_bud_scale_indument_wa,Winter bud scale hairs,buds or leaf scars,"If the winter bud has scales on it, do the scales have hairs?",The scale partially or completely cover the winter buds. The hairs may be easiest to see using a hand lens.,,,TEXT
woody-angiosperms,winter_bud_scale_number_wa,Bud scale number,buds or leaf scars,"How many scales are covering the winter buds, and how would you describe the scales?","Check several buds, and count the scales by peeling them away if necessary.",,,TEXT
woody-angiosperms,winter_bud_shape_wa,Winter bud shape,buds or leaf scars,"What is the overall shape of the winter bud, including the scales?",Examine the winter buds from all sides to determine the overall shape. Do not remove the scales.,,,TEXT
woody-angiosperms,winter_bud_stalks_wa,Winter bud stalks,buds or leaf scars,Are the winter buds raised from the twig surface on short stalks?,Examine several winter buds.,,,TEXT
