model,feature,feature_value,prompt_type,raw_response,parsed,expected,correct
openai/gpt-5-mini,key_plant_type,Vines,existence,None,NO,YES,False
openai/gpt-5-mini,key_plant_type,Vines,blind_mc,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,Vines,False
openai/gpt-5-mini,key_plant_type,Vines,agreement,NO,NO,YES,False
openai/gpt-5-mini,key_plant_type,Shrubs,agreement,YES,YES,YES,True
openai/gpt-5-mini,key_plant_type,Shrubs,existence,YES,YES,YES,True
openai/gpt-5-mini,key_leaf_type,Leaves Entire,existence,YES,YES,YES,True
openai/gpt-5-mini,key_leaf_type,No Apparent Leaves,agreement,YES,YES,YES,True
openai/gpt-5-mini,key_plant_type,Shrubs,blind_mc,None,INCONCLUSIVE,Shrubs,False
openai/gpt-5-mini,key_leaf_type,Leaves Entire,blind_mc,Leaves Toothed or Lobed,Leaves Toothed or Lobed,Leaves Entire,False
openai/gpt-5-mini,key_leaf_type,No Apparent Leaves,blind_mc,No Apparent Leaves,No Apparent Leaves,No Apparent Leaves,True
openai/gpt-5-mini,key_leaf_type,No Apparent Leaves,existence,None,NO,YES,False
openai/gpt-5-mini,key_leaf_type,Leaves Entire,agreement,None,NO,YES,False
openai/gpt-5-mini,key_leaf_type,Leaves Toothed or Lobed,agreement,YES,YES,YES,True
openai/gpt-5-mini,key_leaf_type,Leaves Divided,existence,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_flower_type,3 Regular Parts,existence,YES,YES,YES,True
openai/gpt-5-mini,key_leaf_type,Leaves Divided,blind_mc,Leaves Divided,Leaves Divided,Leaves Divided,True
openai/gpt-5-mini,key_leaf_type,Leaves Toothed or Lobed,blind_mc,None,INCONCLUSIVE,Leaves Toothed or Lobed,False
openai/gpt-5-mini,key_leaf_type,Leaves Divided,agreement,None,NO,YES,False
google/gemini-3.1-pro-preview,key_flower_type,3 Regular Parts,agreement,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_flower_type,4 Regular Parts,agreement,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_flower_type,4 Regular Parts,existence,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_flower_type,3 Regular Parts,blind_mc,3 Regular Parts,3 Regular Parts,3 Regular Parts,True
google/gemini-3.1-pro-preview,key_flower_type,4 Regular Parts,blind_mc,4 Regular Parts,4 Regular Parts,4 Regular Parts,True
google/gemini-3.1-pro-preview,key_flower_type,5 Regular Parts,existence,YES,YES,YES,True
openai/gpt-5-mini,key_leaf_type,Leaves Toothed or Lobed,existence,None,NO,YES,False
google/gemini-3.1-pro-preview,key_flower_type,5 Regular Parts,agreement,"regular)?
        *",INCONCLUSIVE,YES,False
google/gemini-3.1-pro-preview,key_flower_type,6 Regular Parts,blind_mc,6 Regular Parts,6 Regular Parts,6 Regular Parts,True
google/gemini-3.1-pro-preview,key_flower_type,7 or More Regular Parts,blind_mc,7 or More Regular Parts,7 or More Regular Parts,7 or More Regular Parts,True
google/gemini-3.1-pro-preview,key_flower_type,5 Regular Parts,blind_mc,5 Regular Parts,5 Regular Parts,5 Regular Parts,True
google/gemini-3.1-pro-preview,key_flower_type,6 Regular Parts,existence,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_flower_type,6 Regular Parts,agreement,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_flower_type,7 or More Regular Parts,existence,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_flower_type,7 or More Regular Parts,agreement,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_flower_type,Parts Indistinguishable,existence,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_flower_type,Parts Indistinguishable,agreement,NO,NO,YES,False
google/gemini-3.1-pro-preview,key_flower_type,Irregular Flowers,existence,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_flower_type,Parts Indistinguishable,blind_mc,Parts Indistinguishable,Parts Indistinguishable,Parts Indistinguishable,True
google/gemini-3.1-pro-preview,key_flower_type,Irregular Flowers,agreement,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_flower_type,Irregular Flowers,blind_mc,Irregular Flowers,Irregular Flowers,Irregular Flowers,True
google/gemini-3.1-pro-preview,key_plant_type,Wildflowers - Alternate Leaves,agreement,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_plant_type,Wildflowers - Alternate Leaves,existence,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_plant_type,Wildflowers - No Apparent Leaves,existence,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_plant_type,Wildflowers - Alternate Leaves,blind_mc,Wildflowers - Alternate,INCONCLUSIVE,Wildflowers - Alternate Leaves,False
google/gemini-3.1-pro-preview,key_plant_type,Wildflowers - No Apparent Leaves,agreement,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_plant_type,Wildflowers - No Apparent Leaves,blind_mc,Wildflowers - No Apparent Leaves,Wildflowers - No Apparent Leaves,Wildflowers - No Apparent Leaves,True
google/gemini-3.1-pro-preview,key_plant_type,Wildflowers - Opposite or Whorled Leaves,existence,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_plant_type,Wildflowers - Opposite or Whorled Leaves,blind_mc,Wildflowers -,INCONCLUSIVE,Wildflowers - Opposite or Whorled Leaves,False
google/gemini-3.1-pro-preview,key_plant_type,Wildflowers - Basal Leaves Only,agreement,NO,NO,YES,False
google/gemini-3.1-pro-preview,key_plant_type,Wildflowers - Basal Leaves Only,blind_mc,Wildflowers - Basal Leaves Only,Wildflowers - Basal Leaves Only,Wildflowers - Basal Leaves Only,True
google/gemini-3.1-pro-preview,key_plant_type,Wildflowers - Opposite or Whorled Leaves,agreement,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_plant_type,Vines,agreement,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_plant_type,Vines,existence,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_plant_type,Vines,blind_mc,Vines,Vines,Vines,True
google/gemini-3.1-pro-preview,key_plant_type,Wildflowers - Basal Leaves Only,existence,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_plant_type,Shrubs,existence,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_plant_type,Shrubs,agreement,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_leaf_type,Leaves Entire,agreement,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_plant_type,Shrubs,blind_mc,Shrubs,Shrubs,Shrubs,True
google/gemini-3.1-pro-preview,key_leaf_type,Leaves Entire,existence,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_leaf_type,No Apparent Leaves,existence,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_leaf_type,Leaves Entire,blind_mc,Leaves Entire,Leaves Entire,Leaves Entire,True
google/gemini-3.1-pro-preview,key_leaf_type,No Apparent Leaves,agreement,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_leaf_type,No Apparent Leaves,blind_mc,No Apparent,INCONCLUSIVE,No Apparent Leaves,False
google/gemini-3.1-pro-preview,key_leaf_type,Leaves Toothed or Lobed,existence,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_leaf_type,Leaves Toothed or Lobed,agreement,NO,NO,YES,False
google/gemini-3-flash-preview,key_flower_type,3 Regular Parts,existence,YES,YES,YES,True
google/gemini-3-flash-preview,key_flower_type,3 Regular Parts,agreement,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_leaf_type,Leaves Toothed or Lobed,blind_mc,Leaves Entire,Leaves Entire,Leaves Toothed or Lobed,False
google/gemini-3.1-pro-preview,key_leaf_type,Leaves Divided,agreement,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_leaf_type,Leaves Divided,existence,YES,YES,YES,True
google/gemini-3-flash-preview,key_flower_type,4 Regular Parts,existence,YES,YES,YES,True
google/gemini-3-flash-preview,key_flower_type,3 Regular Parts,blind_mc,3 Regular Parts,3 Regular Parts,3 Regular Parts,True
google/gemini-3-flash-preview,key_flower_type,4 Regular Parts,agreement,YES,YES,YES,True
google/gemini-3.1-pro-preview,key_leaf_type,Leaves Divided,blind_mc,Leaves Divided,Leaves Divided,Leaves Divided,True
google/gemini-3-flash-preview,key_flower_type,5 Regular Parts,existence,YES,YES,YES,True
google/gemini-3-flash-preview,key_flower_type,4 Regular Parts,blind_mc,4 Regular Parts,4 Regular Parts,4 Regular Parts,True
google/gemini-3-flash-preview,key_flower_type,5 Regular Parts,agreement,YES,YES,YES,True
google/gemini-3-flash-preview,key_flower_type,5 Regular Parts,blind_mc,5 Regular Parts,5 Regular Parts,5 Regular Parts,True
google/gemini-3-flash-preview,key_flower_type,6 Regular Parts,existence,YES,YES,YES,True
google/gemini-3-flash-preview,key_flower_type,6 Regular Parts,agreement,YES,YES,YES,True
google/gemini-3-flash-preview,key_flower_type,7 or More Regular Parts,existence,YES,YES,YES,True
google/gemini-3-flash-preview,key_flower_type,7 or More Regular Parts,agreement,YES,YES,YES,True
google/gemini-3-flash-preview,key_flower_type,7 or More Regular Parts,blind_mc,5. **7 or More Regular Parts**,7 or More Regular Parts,7 or More Regular Parts,True
google/gemini-3-flash-preview,key_flower_type,Parts Indistinguishable,agreement,YES,YES,YES,True
google/gemini-3-flash-preview,key_flower_type,Parts Indistinguishable,existence,YES,YES,YES,True
google/gemini-3-flash-preview,key_flower_type,Parts Indistinguishable,blind_mc,Parts Indistinguishable,Parts Indistinguishable,Parts Indistinguishable,True
google/gemini-3-flash-preview,key_flower_type,Irregular Flowers,existence,YES,YES,YES,True
google/gemini-3-flash-preview,key_flower_type,Irregular Flowers,agreement,YES,YES,YES,True
google/gemini-3-flash-preview,key_flower_type,Irregular Flowers,blind_mc,Irregular Flowers,Irregular Flowers,Irregular Flowers,True
google/gemini-3-flash-preview,key_flower_type,6 Regular Parts,blind_mc,6 Regular Parts,6 Regular Parts,6 Regular Parts,True
google/gemini-3-flash-preview,key_plant_type,Wildflowers - Alternate Leaves,existence,YES,YES,YES,True
google/gemini-3-flash-preview,key_plant_type,Wildflowers - Alternate Leaves,agreement,YES,YES,YES,True
google/gemini-3-flash-preview,key_plant_type,Wildflowers - Alternate Leaves,blind_mc,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,True
google/gemini-3-flash-preview,key_plant_type,Wildflowers - No Apparent Leaves,agreement,YES,YES,YES,True
google/gemini-3-flash-preview,key_plant_type,Wildflowers - No Apparent Leaves,existence,YES,YES,YES,True
google/gemini-3-flash-preview,key_plant_type,Wildflowers - No Apparent Leaves,blind_mc,Wildflowers - No Apparent Leaves,Wildflowers - No Apparent Leaves,Wildflowers - No Apparent Leaves,True
google/gemini-3-flash-preview,key_plant_type,Wildflowers - Opposite or Whorled Leaves,existence,YES,YES,YES,True
google/gemini-3-flash-preview,key_plant_type,Wildflowers - Opposite or Whorled Leaves,agreement,YES,YES,YES,True
google/gemini-3-flash-preview,key_plant_type,Wildflowers - Opposite or Whorled Leaves,blind_mc,Wildflowers - Opposite or Whorled Leaves,Wildflowers - Opposite or Whorled Leaves,Wildflowers - Opposite or Whorled Leaves,True
google/gemini-3-flash-preview,key_plant_type,Wildflowers - Basal Leaves Only,existence,YES,YES,YES,True
google/gemini-3-flash-preview,key_plant_type,Wildflowers - Basal Leaves Only,agreement,YES,YES,YES,True
google/gemini-3-flash-preview,key_plant_type,Wildflowers - Basal Leaves Only,blind_mc,Wildflowers - Basal Leaves Only,Wildflowers - Basal Leaves Only,Wildflowers - Basal Leaves Only,True
google/gemini-3-flash-preview,key_plant_type,Vines,existence,YES,YES,YES,True
google/gemini-3-flash-preview,key_plant_type,Shrubs,existence,YES,YES,YES,True
google/gemini-3-flash-preview,key_plant_type,Shrubs,blind_mc,Shrubs,Shrubs,Shrubs,True
google/gemini-3-flash-preview,key_leaf_type,Leaves Entire,existence,YES,YES,YES,True
google/gemini-3-flash-preview,key_plant_type,Shrubs,agreement,YES,YES,YES,True
google/gemini-3-flash-preview,key_plant_type,Vines,blind_mc,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,Vines,False
google/gemini-3-flash-preview,key_leaf_type,Leaves Entire,agreement,YES,YES,YES,True
google/gemini-3-flash-preview,key_leaf_type,Leaves Entire,blind_mc,Leaves Entire,Leaves Entire,Leaves Entire,True
google/gemini-3-flash-preview,key_leaf_type,No Apparent Leaves,agreement,YES,YES,YES,True
google/gemini-3-flash-preview,key_leaf_type,No Apparent Leaves,existence,YES,YES,YES,True
google/gemini-3-flash-preview,key_plant_type,Vines,agreement,YES,YES,YES,True
google/gemini-3-flash-preview,key_leaf_type,Leaves Toothed or Lobed,existence,YES,YES,YES,True
google/gemini-3-flash-preview,key_leaf_type,Leaves Toothed or Lobed,agreement,YES,YES,YES,True
google/gemini-3-flash-preview,key_leaf_type,Leaves Divided,existence,YES,YES,YES,True
google/gemini-3-flash-preview,key_leaf_type,No Apparent Leaves,blind_mc,No Apparent Leaves,No Apparent Leaves,No Apparent Leaves,True
google/gemini-3-flash-preview,key_leaf_type,Leaves Toothed or Lobed,blind_mc,Leaves Entire,Leaves Entire,Leaves Toothed or Lobed,False
google/gemini-3-flash-preview,key_leaf_type,Leaves Divided,blind_mc,Leaves Divided,Leaves Divided,Leaves Divided,True
google/gemini-3-flash-preview,key_leaf_type,Leaves Divided,agreement,YES,YES,YES,True
anthropic/claude-sonnet-4-6,key_flower_type,4 Regular Parts,blind_mc,**4 Regular Parts**,4 Regular Parts,4 Regular Parts,True
anthropic/claude-sonnet-4-6,key_flower_type,4 Regular Parts,existence,YES,YES,YES,True
anthropic/claude-sonnet-4-6,key_flower_type,4 Regular Parts,agreement,YES,YES,YES,True
anthropic/claude-sonnet-4-6,key_flower_type,3 Regular Parts,agreement,YES,YES,YES,True
anthropic/claude-sonnet-4-6,key_flower_type,5 Regular Parts,agreement,NO,NO,YES,False
anthropic/claude-sonnet-4-6,key_flower_type,3 Regular Parts,blind_mc,"Looking at the flower in the image, I can see yellow petals arranged around a central cluster of stamens. The flower appears to have 3 distinct petals - two lateral petals of similar size and one lower petal, with what appears to be a smaller upper portion. The petals are not all equal in size/arrangement, suggesting some irregularity, but counting the visible parts...

The flower shows approximately 3 petal-like parts visible, and the reference photo for option 1 (3 Regular Parts) matches this exact image.

**3 Regular Parts**",3 Regular Parts,3 Regular Parts,True
anthropic/claude-sonnet-4-6,key_flower_type,5 Regular Parts,blind_mc,**Irregular Flowers**,Irregular Flowers,5 Regular Parts,False
anthropic/claude-sonnet-4-6,key_flower_type,6 Regular Parts,existence,YES,YES,YES,True
anthropic/claude-sonnet-4-6,key_flower_type,5 Regular Parts,existence,YES,YES,YES,True
anthropic/claude-sonnet-4-6,key_flower_type,6 Regular Parts,agreement,YES,YES,YES,True
anthropic/claude-sonnet-4-6,key_flower_type,7 or More Regular Parts,existence,YES,YES,YES,True
anthropic/claude-sonnet-4-6,key_flower_type,3 Regular Parts,existence,YES,YES,YES,True
anthropic/claude-sonnet-4-6,key_flower_type,6 Regular Parts,blind_mc,**6 Regular Parts**,6 Regular Parts,6 Regular Parts,True
anthropic/claude-sonnet-4-6,key_flower_type,7 or More Regular Parts,agreement,YES,YES,YES,True
anthropic/claude-sonnet-4-6,key_flower_type,7 or More Regular Parts,blind_mc,**7 or More Regular Parts**,7 or More Regular Parts,7 or More Regular Parts,True
anthropic/claude-sonnet-4-6,key_flower_type,Parts Indistinguishable,existence,YES,YES,YES,True
anthropic/claude-sonnet-4-6,key_flower_type,Parts Indistinguishable,blind_mc,**Parts Indistinguishable**,Parts Indistinguishable,Parts Indistinguishable,True
anthropic/claude-sonnet-4-6,key_flower_type,Irregular Flowers,blind_mc,**Irregular Flowers**,Irregular Flowers,Irregular Flowers,True
anthropic/claude-sonnet-4-6,key_flower_type,Irregular Flowers,agreement,YES,YES,YES,True
anthropic/claude-sonnet-4-6,key_flower_type,Irregular Flowers,existence,YES,YES,YES,True
anthropic/claude-sonnet-4-6,key_plant_type,Wildflowers - Alternate Leaves,existence,INCONCLUSIVE,INCONCLUSIVE,YES,False
anthropic/claude-sonnet-4-6,key_plant_type,Wildflowers - Alternate Leaves,agreement,YES,YES,YES,True
anthropic/claude-sonnet-4-6,key_plant_type,Wildflowers - No Apparent Leaves,existence,YES,YES,YES,True
anthropic/claude-sonnet-4-6,key_flower_type,Parts Indistinguishable,agreement,"The image shows a flower cluster with numerous elongated, thread-like or strap-like yellowish structures (likely stamens or ligulate florets) that are quite visible and distinguishable. The parts are clearly discernible — they appear as long, thin filaments radiating outward. This does not match the ""Parts Indistinguishable"" classification, as the flower parts are quite visible and their arrangement can be observed.

NO",NO,YES,False
anthropic/claude-sonnet-4-6,key_plant_type,Wildflowers - Alternate Leaves,blind_mc,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,True
anthropic/claude-sonnet-4-6,key_plant_type,Wildflowers - No Apparent Leaves,agreement,YES,YES,YES,True
anthropic/claude-sonnet-4-6,key_plant_type,Wildflowers - No Apparent Leaves,blind_mc,**Wildflowers - No Apparent Leaves**,Wildflowers - No Apparent Leaves,Wildflowers - No Apparent Leaves,True
anthropic/claude-sonnet-4-6,key_plant_type,Wildflowers - Opposite or Whorled Leaves,existence,YES,YES,YES,True
anthropic/claude-sonnet-4-6,key_plant_type,Wildflowers - Opposite or Whorled Leaves,blind_mc,**Wildflowers - Opposite or Whorled Leaves**,Wildflowers - Opposite or Whorled Leaves,Wildflowers - Opposite or Whorled Leaves,True
anthropic/claude-sonnet-4-6,key_plant_type,Wildflowers - Basal Leaves Only,existence,YES,YES,YES,True
anthropic/claude-sonnet-4-6,key_plant_type,Wildflowers - Opposite or Whorled Leaves,agreement,YES,YES,YES,True
anthropic/claude-sonnet-4-6,key_plant_type,Wildflowers - Basal Leaves Only,agreement,YES,YES,YES,True
anthropic/claude-sonnet-4-6,key_plant_type,Vines,existence,YES,YES,YES,True
anthropic/claude-sonnet-4-6,key_plant_type,Wildflowers - Basal Leaves Only,blind_mc,**Wildflowers - Basal Leaves Only**,Wildflowers - Basal Leaves Only,Wildflowers - Basal Leaves Only,True
